user_id,total_logons,after_hours_logons,weekend_logons,failed_logons,total_emails,emails_with_attachments,external_emails,total_http,suspicious_http,total_file,exe_zip_files,total_device,num_distinct_pcs,total_email_megabytes,role,department,O,C,E,A,N,label,total_actions,after_hours_ratio,weekend_activity_ratio,failed_logon_ratio,attachment_ratio,external_email_ratio,suspicious_file_ratio,suspicious_http_ratio,device_action_ratio,total_suspicious_flags,overall_suspicious_ratio,exfiltration_intensity,activity_intensity
AAE0190,692,0,0,0,4711,953,1854,49478,5298,0,0,0,1,134.87442,Manager,1 - Purchasing,36,30,14,50,29,0,54881,0.0,0.0,0.0,0.20224957,0.3934635,0.0,0.10707573,0.0,8105,0.14768048,0.13031594,54881
AAF0535,328,0,0,0,480,187,147,4878,146,357,15,688,1,13.914826,0,0,17,21,36,33,31,1,6731,0.0,0.0,0.0,0.38877338,0.3056133,0.041899443,0.029924165,0.10219845,495,0.073529415,0.14572193,6731
AAF0791,692,0,0,0,3012,0,1645,32870,2518,0,0,0,1,86.054794,Physicist,1 - Research,14,40,40,50,34,0,36574,0.0,0.0,0.0,0.0,0.54596746,0.0,0.076602474,0.0,4163,0.11382092,0.11382092,36574
AAL0706,692,0,0,0,336,71,153,3460,95,0,0,0,1,9.557981,ProductionLineWorker,3 - Assembly,37,14,28,13,25,0,4488,0.0,0.0,0.0,0.2106825,0.45400593,0.0,0.027448714,0.0,319,0.071062595,0.055246156,4488
AAM0658,458,233,2,0,659,275,265,6498,168,31,1,13,1,18.788486,0,0,43,35,37,36,22,1,7659,0.5076253,0.0043572984,0.0,0.41666666,0.40151516,0.03125,0.02585013,0.0016971279,942,0.122976504,0.058224544,7659
AAN0823,692,0,0,0,339,78,143,3450,158,0,0,0,1,9.631368,ProductionLineWorker,3 - Assembly,24,16,45,24,28,0,4481,0.0,0.0,0.0,0.22941177,0.42058823,0.0,0.04578383,0.0,379,0.08456046,0.06715752,4481
AAS0442,136,0,0,0,145,65,47,1450,134,0,0,0,1,4.202013,0,0,36,43,22,22,31,0,1731,0.0,0.0,0.0,0.44520548,0.3219178,0.0,0.0923501,0.0,246,0.14203233,0.10450347,1731
AAV0450,692,0,0,0,336,67,140,3460,99,0,0,0,1,9.645663,ProductionLineWorker,3 - Assembly,44,24,36,41,33,0,4488,0.0,0.0,0.0,0.19881305,0.41543028,0.0,0.02860445,0.0,306,0.06816663,0.053241257,4488
AAW0353,692,0,0,0,1000,0,441,10034,452,0,0,0,1,28.247837,AssemblySupervisor,3 - Assembly,49,45,19,25,34,0,11726,0.0,0.0,0.0,0.0,0.44055945,0.0,0.04504235,0.0,893,0.07614906,0.07614906,11726
ABC0174,829,0,126,0,4239,465,2006,48095,3359,589,39,1276,1,120.66783,0,0,15,41,34,13,32,1,55028,0.0,0.15180723,0.0,0.10966981,0.4731132,0.06610169,0.069839485,0.023187773,5869,0.106652856,0.12068182,55028
ABC0253,963,0,0,0,3015,351,1252,32680,1962,0,0,0,1,87.02428,ElectricalEngineer,3 - Engineering,21,15,41,30,28,0,36658,0.0,0.0,0.0,0.11637931,0.41511935,0.0,0.060034882,0.0,3565,0.09724761,0.087672874,36658
ABH0663,692,0,0,0,1006,104,465,10034,457,0,0,0,1,28.144302,AssemblySupervisor,3 - Assembly,47,49,41,11,34,0,11732,0.0,0.0,0.0,0.10327706,0.4617676,0.0,0.04554061,0.0,1026,0.08744567,0.07858178,11732
ABM0845,1002,0,0,0,340,37,173,3460,83,0,0,0,2,9.551151,ProductionLineWorker,3 - Assembly,45,21,35,50,29,0,4802,0.0,0.0,0.0,0.1085044,0.5073314,0.0,0.023981508,0.0,293,0.06100354,0.05330002,4802
ABN0239,959,0,0,0,3023,602,1144,32870,2297,0,0,0,1,86.53067,SoftwareEngineer,2 - SoftwareManagement,21,37,20,39,25,0,36852,0.0,0.0,0.0,0.19907407,0.37830687,0.0,0.06987923,0.0,4043,0.109706126,0.09337096,36852
ACC0042,2724,1300,0,0,3676,1113,1444,39336,4931,0,0,0,618,105.24753,ITAdmin,6 - Security,23,19,37,20,31,0,45736,0.47706422,0.0,0.0,0.3026924,0.39271146,0.0,0.12535273,0.0,8788,0.19214202,0.13938387,45736
ACV0812,1279,484,13,0,3040,949,743,31140,573,0,0,0,2,86.99971,ComputerProgrammer,2 - SoftwareManagement,42,37,12,45,28,0,35459,0.378125,0.01015625,0.0,0.3120684,0.24432753,0.0,0.01840018,0.0,2749,0.07752397,0.03711224,35459
ADC0391,968,0,0,0,3057,1208,1031,32870,1711,0,0,0,1,87.383484,SoftwareEngineer,2 - SoftwareManagement,50,43,40,33,38,0,36895,0.0,0.0,0.0,0.39502943,0.33714846,0.0,0.05205196,0.0,3950,0.107057676,0.074317,36895
ADD0846,692,0,0,0,333,76,129,3460,142,0,0,0,1,9.763971,ProductionLineWorker,3 - Assembly,18,19,25,12,35,0,4485,0.0,0.0,0.0,0.2275449,0.38622755,0.0,0.041028604,0.0,347,0.077351764,0.060410164,4485
ADF0397,692,0,0,0,3038,312,1406,32870,673,0,0,0,1,86.15769,SoftwareEngineer,2 - SoftwareManagement,39,16,10,40,35,0,36600,0.0,0.0,0.0,0.10266535,0.46265218,0.0,0.020473974,0.0,2391,0.06532609,0.056801725,36600
AES0827,692,0,0,0,336,0,171,3450,136,0,0,0,1,9.545623,ProductionLineWorker,3 - Assembly,39,40,34,38,23,0,4478,0.0,0.0,0.0,0.0,0.5074184,0.0,0.039408866,0.0,307,0.068542086,0.068542086,4478
AGB0186,692,0,0,0,1003,0,327,10034,1352,0,0,0,1,28.567139,Technician,3 - FieldService,18,10,41,15,35,0,11729,0.0,0.0,0.0,0.0,0.3256972,0.0,0.13472845,0.0,1679,0.14313726,0.14313726,11729
AGB0643,692,346,0,0,1012,198,500,10034,242,0,0,0,1,29.216885,Technician,3 - FieldService,32,39,20,44,27,0,11738,0.4992785,0.0,0.0,0.19545904,0.4935834,0.0,0.024115596,0.0,1286,0.109549366,0.06320811,11738
AHC0142,1197,0,100,0,3382,1002,1292,36670,2774,0,0,0,3,97.371704,Engineer,4 - QualityControl,34,23,40,15,26,0,41249,0.0,0.08347245,0.0,0.2961868,0.38190955,0.0,0.0756456,0.0,5068,0.1228606,0.0985697,41249
AHD0848,1162,0,87,0,376,126,116,3820,138,199,13,299,22,10.688534,ProductionLineWorker,3 - Assembly,24,30,49,16,30,0,5856,0.0,0.074806534,0.0,0.33421752,0.30769232,0.065,0.0361162,0.051050026,393,0.0670992,0.09441694,5856
AHG0634,465,162,0,0,463,146,259,4740,261,0,0,0,2,13.564133,0,0,31,36,42,41,27,0,5668,0.34763947,0.0,0.0,0.31465518,0.55818963,0.0,0.055051677,0.0,828,0.1460575,0.09172694,5668
AHM0410,1183,0,9,0,3063,917,814,33440,4771,2198,130,782,3,87.50971,SystemsEngineer,3 - Engineering,34,43,15,18,26,0,40666,0.0,0.0076013515,0.0,0.29928198,0.2656658,0.05911778,0.14266919,0.01922935,6632,0.16308063,0.1565643,40666
AIB0948,1207,0,0,0,328,39,130,3460,190,1669,95,5963,34,9.415932,ProductionLineWorker,3 - Assembly,42,31,27,20,31,0,12627,0.0,0.0,0.0,0.11854103,0.39513677,0.056886226,0.054897428,0.47220463,454,0.035951853,0.49754512,12627
AIH0675,692,0,0,0,2994,626,1223,32775,2096,0,0,0,1,85.725235,Scientist,1 - Research,25,39,38,40,37,0,36461,0.0,0.0,0.0,0.20901503,0.40834725,0.0,0.063949235,0.0,3945,0.108194835,0.09102628,36461
AIM0627,692,0,0,0,5009,0,1849,55890,5677,0,0,0,1,143.23183,Salesman,2 - Sales,36,39,16,41,23,0,61591,0.0,0.0,0.0,0.0,0.3690619,0.0,0.10157271,0.0,7526,0.12219119,0.12219119,61591
AIP0394,1025,49,8,0,3044,892,1170,32775,2825,0,0,0,1,87.726036,SoftwareEngineer,2 - SoftwareManagement,17,16,38,14,26,0,36844,0.047758285,0.007797271,0.0,0.29293925,0.38423645,0.0,0.08619112,0.0,4936,0.13396661,0.1084272,36844
AIP0982,1000,0,0,0,3328,988,1104,34500,2191,6182,343,729,2,94.75236,ManagementTrainer,3 - Training,43,20,43,41,33,0,45739,0.0,0.0,0.0,0.29678583,0.33163112,0.055474687,0.0635054,0.01593791,4626,0.10113686,0.08797552,45739
AIS0405,692,0,0,0,2995,606,1397,32870,1839,0,0,0,1,84.768486,SoftwareEngineer,2 - SoftwareManagement,40,45,14,37,35,0,36557,0.0,0.0,0.0,0.20226969,0.4662884,0.0,0.05594597,0.0,3842,0.10509328,0.088516876,36557
AJC0840,692,0,0,0,364,45,157,3460,184,0,0,0,1,10.670319,ProductionLineWorker,3 - Assembly,14,24,19,33,37,0,4516,0.0,0.0,0.0,0.12328767,0.43013698,0.0,0.053163826,0.0,386,0.08545495,0.07549258,4516
AJD0074,1202,0,118,0,3781,1192,1664,44118,2568,515,17,294,2,108.60927,AdministrativeAssistant,3 - Engineering,19,37,45,22,34,0,49910,0.0,0.098088115,0.0,0.31517714,0.43997884,0.032945737,0.058206216,0.005890485,5441,0.10901404,0.09068141,49910
AJF0370,3267,1428,142,0,3927,1199,1927,42445,1774,11053,643,8502,661,113.631134,ITAdmin,6 - Security,37,33,11,15,36,0,69194,0.4369645,0.043451652,0.0,0.3052444,0.49058044,0.05816899,0.04179428,0.12287015,6971,0.10074427,0.17635667,69194
AJH0175,810,83,7,0,4976,529,2055,52938,7819,236,14,317,1,143.3702,Salesman,2 - Sales,19,19,16,33,37,0,59277,0.102342784,0.00863132,0.0,0.10628893,0.41289935,0.05907173,0.1476983,0.005347684,10500,0.17713149,0.17191875,59277
AJL0462,1034,56,6,0,338,102,129,3114,71,0,0,0,1,9.684639,ProductionLineWorker,3 - Assembly,16,24,44,31,28,0,4486,0.05410628,0.0057971017,0.0,0.30088496,0.38053098,0.0,0.022792937,0.0,358,0.07978605,0.04457321,4486
AJN0607,1177,0,0,0,5022,2034,2173,56052,5333,820,56,2061,2,142.4933,Salesman,2 - Sales,45,42,16,47,23,0,65132,0.0,0.0,0.0,0.4049373,0.43261,0.0682095,0.0951421,0.031642947,9596,0.14732932,0.14688407,65132
AJP0723,692,0,0,0,337,0,155,3460,102,0,0,0,1,9.698853,ProductionLineWorker,3 - Assembly,24,29,17,12,29,0,4489,0.0,0.0,0.0,0.0,0.45857987,0.0,0.02947125,0.0,257,0.057238307,0.057238307,4489
AJR0319,1258,0,279,0,6434,1949,2347,72252,5537,0,0,0,1,185.91286,Salesman,2 - Sales,40,13,37,16,24,0,79944,0.0,0.22160445,0.0,0.3028749,0.36472416,0.0,0.0766335,0.0,9833,0.12299706,0.0986178,79944
AJR0932,398,6,1,0,1709,0,616,18527,408,47,1,38,1,48.923428,0,0,46,30,35,12,29,1,20719,0.015037594,0.0025062656,0.0,0.0,0.36023393,0.020833334,0.022020726,0.0018339768,1031,0.049758688,0.051254828,20719
AKC0924,692,0,0,0,3047,617,1240,32870,3179,0,0,0,1,87.019966,Scientist,1 - Research,40,44,35,37,27,0,36609,0.0,0.0,0.0,0.20242782,0.40682414,0.0,0.09671139,0.0,5036,0.13755804,0.120704725,36609
AKF0709,692,0,0,0,331,0,181,3460,298,0,0,0,1,9.261307,ProductionLineWorker,3 - Assembly,42,31,29,22,32,0,4483,0.0,0.0,0.0,0.0,0.54518074,0.0,0.086102284,0.0,479,0.106824264,0.106824264,4483
AKH0758,692,0,0,0,1008,204,294,10005,1116,0,0,0,1,29.170523,Technician,3 - FieldService,24,38,40,37,27,0,11705,0.0,0.0,0.0,0.20218037,0.2913776,0.0,0.11153308,0.0,1614,0.13787802,0.12045105,11705
AKK0329,692,0,0,0,1011,406,569,10034,814,0,0,0,1,28.90524,Technician,3 - FieldService,45,22,25,39,22,0,11737,0.0,0.0,0.0,0.40118578,0.56225294,0.0,0.081116095,0.0,1789,0.15241097,0.11782245,11737
AKR0057,662,0,0,0,2459,256,908,26463,1005,540,40,966,13,70.49277,0,0,50,41,20,18,30,1,31090,0.0,0.0,0.0,0.10406504,0.3691057,0.073937155,0.03797612,0.031070085,2209,0.0710495,0.092599146,31090
AKW0167,692,0,0,0,3685,376,1474,39444,2040,0,0,0,1,105.75968,AdministrativeAssistant,2 - Sales,38,38,20,14,35,0,43821,0.0,0.0,0.0,0.1020076,0.3998915,0.0,0.051717583,0.0,3890,0.0887682,0.080188036,43821
