user_id,total_logons,after_hours_logons,weekend_logons,failed_logons,total_emails,emails_with_attachments,external_emails,total_http,suspicious_http,total_file,exe_zip_files,after_hours_file_ops,total_device,num_distinct_pcs,unique_http_domains,unique_external_recipients,total_email_megabytes,label,total_actions,after_hours_ratio,weekend_activity_ratio,failed_logon_ratio,attachment_ratio,external_email_ratio,suspicious_file_ratio,suspicious_http_ratio,device_action_ratio,total_suspicious_flags,overall_suspicious_ratio,exfiltration_intensity,activity_intensity,after_hours_file_ratio,domain_diversity,recipient_diversity
AAE0190,692.0,0.0,0.0,0,4711.0,953.0,1854.0,49478.0,5298.0,0.0,0.0,0.0,0.0,1.0,187.0,633.0,134.87442,0,54881.0,0.0,0.0,0.0,0.20224957,0.3934635,0.0,0.10707573,0.0,8105.0,0.14768048,0.13031594,54881.0,0.0,0.003779381,0.3412399
AAF0535,328.0,0.0,0.0,0,480.0,187.0,147.0,4878.0,146.0,357.0,15.0,0.0,688.0,1.0,98.0,102.0,13.914826,1,6731.0,0.0,0.0,0.0,0.38877338,0.3056133,0.041899443,0.029924165,0.10219845,495.0,0.073529415,0.14572193,6731.0,0.0,0.020086084,0.6891892
AAF0791,692.0,0.0,0.0,0,3012.0,0.0,1645.0,32870.0,2518.0,0.0,0.0,0.0,0.0,1.0,253.0,650.0,86.054794,0,36574.0,0.0,0.0,0.0,0.0,0.54596746,0.0,0.076602474,0.0,4163.0,0.11382092,0.11382092,36574.0,0.0,0.007696754,0.39489672
AAL0706,692.0,0.0,0.0,0,336.0,71.0,153.0,3460.0,95.0,0.0,0.0,0.0,0.0,1.0,168.0,98.0,9.557981,0,4488.0,0.0,0.0,0.0,0.2106825,0.45400593,0.0,0.027448714,0.0,319.0,0.071062595,0.055246156,4488.0,0.0,0.048540883,0.6363636
AAM0658,458.0,233.0,2.0,0,659.0,275.0,265.0,6498.0,168.0,31.0,1.0,31.0,13.0,1.0,117.0,153.0,18.788486,1,7659.0,0.5058644126500002,0.0043572984,0.0,0.41666666,0.40151516,0.03125,0.02585013,0.0016971279,942.0,0.122976504,0.058224544,7659.0,0.96875,0.018002769,0.575188
AAN0823,692.0,0.0,0.0,0,339.0,78.0,143.0,3450.0,158.0,0.0,0.0,0.0,0.0,1.0,104.0,112.0,9.631368,0,4481.0,0.0,0.0,0.0,0.22941177,0.42058823,0.0,0.04578383,0.0,379.0,0.08456046,0.06715752,4481.0,0.0,0.030136192,0.7777778
AAS0442,136.0,0.0,0.0,0,145.0,65.0,47.0,1450.0,134.0,0.0,0.0,0.0,0.0,1.0,55.0,39.0,4.202013,0,1731.0,0.0,0.0,0.0,0.44520548,0.3219178,0.0,0.0923501,0.0,246.0,0.14203233,0.10450347,1731.0,0.0,0.037904892,0.8125
AAV0450,692.0,0.0,0.0,0,336.0,67.0,140.0,3460.0,99.0,0.0,0.0,0.0,0.0,1.0,106.0,102.0,9.645663,0,4488.0,0.0,0.0,0.0,0.19881305,0.41543028,0.0,0.02860445,0.0,306.0,0.06816663,0.053241257,4488.0,0.0,0.030626986,0.7234042
AAW0353,692.0,0.0,0.0,0,1000.0,0.0,441.0,10034.0,452.0,0.0,0.0,0.0,0.0,1.0,95.0,249.0,28.247837,0,11726.0,0.0,0.0,0.0,0.0,0.44055945,0.0,0.04504235,0.0,893.0,0.07614906,0.07614906,11726.0,0.0,0.009466866,0.5633484
ABC0174,829.0,0.0,126.0,0,4239.0,465.0,2006.0,48095.0,3359.0,589.0,39.0,0.0,1276.0,1.0,216.0,893.0,120.66783,1,55028.0,0.0,0.15180723,0.0,0.10966981,0.4731132,0.06610169,0.069839485,0.023187773,5869.0,0.106652856,0.12068182,55028.0,0.0,0.004491018,0.4449427
ABC0253,963.0,0.0,0.0,0,3015.0,351.0,1252.0,32680.0,1962.0,0.0,0.0,0.0,0.0,1.0,167.0,519.0,87.02428,0,36658.0,0.0,0.0,0.0,0.11637931,0.41511935,0.0,0.060034882,0.0,3565.0,0.09724761,0.087672874,36658.0,0.0,0.0051100026,0.4142059
ABH0663,692.0,0.0,0.0,0,1006.0,104.0,465.0,10034.0,457.0,0.0,0.0,0.0,0.0,1.0,164.0,263.0,28.144302,0,11732.0,0.0,0.0,0.0,0.10327706,0.4617676,0.0,0.04554061,0.0,1026.0,0.08744567,0.07858178,11732.0,0.0,0.0163428,0.56437767
ABM0845,1002.0,0.0,0.0,0,340.0,37.0,173.0,3460.0,83.0,0.0,0.0,0.0,0.0,2.0,145.0,104.0,9.551151,0,4802.0,0.0,0.0,0.0,0.1085044,0.5073314,0.0,0.023981508,0.0,293.0,0.06100354,0.05330002,4802.0,0.0,0.041895404,0.59770113
ABN0239,959.0,0.0,0.0,0,3023.0,602.0,1144.0,32870.0,2297.0,0.0,0.0,0.0,0.0,1.0,175.0,484.0,86.53067,0,36852.0,0.0,0.0,0.0,0.19907407,0.37830687,0.0,0.06987923,0.0,4043.0,0.109706126,0.09337096,36852.0,0.0,0.0053238417,0.42270744
ACC0042,2724.0,1300.0,0.0,0,3676.0,1113.0,1444.0,39336.0,4931.0,0.0,0.0,0.0,0.0,618.0,182.0,548.0,105.24753,0,45736.0,0.47706422,0.0,0.0,0.3026924,0.39271146,0.0,0.12535273,0.0,8788.0,0.19214202,0.13938387,45736.0,0.0,0.004626687,0.37923875
ACV0812,1279.0,484.0,13.0,0,3040.0,949.0,743.0,31140.0,573.0,0.0,0.0,0.0,0.0,2.0,124.0,347.0,86.99971,0,35459.0,0.378125,0.01015625,0.0,0.3120684,0.24432753,0.0,0.01840018,0.0,2749.0,0.07752397,0.03711224,35459.0,0.0,0.0039818888,0.46639785
ADC0391,968.0,0.0,0.0,0,3057.0,1208.0,1031.0,32870.0,1711.0,0.0,0.0,0.0,0.0,1.0,159.0,441.0,87.383484,0,36895.0,0.0,0.0,0.0,0.39502943,0.33714846,0.0,0.05205196,0.0,3950.0,0.107057676,0.074317,36895.0,0.0,0.0048370906,0.42732558
ADD0846,692.0,0.0,0.0,0,333.0,76.0,129.0,3460.0,142.0,0.0,0.0,0.0,0.0,1.0,104.0,88.0,9.763971,0,4485.0,0.0,0.0,0.0,0.2275449,0.38622755,0.0,0.041028604,0.0,347.0,0.077351764,0.060410164,4485.0,0.0,0.03004912,0.6769231
ADF0397,692.0,0.0,0.0,0,3038.0,312.0,1406.0,32870.0,673.0,0.0,0.0,0.0,0.0,1.0,209.0,595.0,86.15769,0,36600.0,0.0,0.0,0.0,0.10266535,0.46265218,0.0,0.020473974,0.0,2391.0,0.06532609,0.056801725,36600.0,0.0,0.006358188,0.42288557
AES0827,692.0,0.0,0.0,0,336.0,0.0,171.0,3450.0,136.0,0.0,0.0,0.0,0.0,1.0,198.0,114.0,9.545623,0,4478.0,0.0,0.0,0.0,0.0,0.5074184,0.0,0.039408866,0.0,307.0,0.068542086,0.068542086,4478.0,0.0,0.057374675,0.6627907
AGB0186,692.0,0.0,0.0,0,1003.0,0.0,327.0,10034.0,1352.0,0.0,0.0,0.0,0.0,1.0,110.0,193.0,28.567139,0,11729.0,0.0,0.0,0.0,0.0,0.3256972,0.0,0.13472845,0.0,1679.0,0.14313726,0.14313726,11729.0,0.0,0.010961634,0.5884146
AGB0643,692.0,346.0,0.0,0,1012.0,198.0,500.0,10034.0,242.0,0.0,0.0,0.0,0.0,1.0,177.0,287.0,29.216885,0,11738.0,0.4992785,0.0,0.0,0.19545904,0.4935834,0.0,0.024115596,0.0,1286.0,0.109549366,0.06320811,11738.0,0.0,0.017638266,0.5728543
AHC0142,1197.0,0.0,100.0,0,3382.0,1002.0,1292.0,36670.0,2774.0,0.0,0.0,0.0,0.0,3.0,166.0,360.0,97.371704,0,41249.0,0.0,0.08347245,0.0,0.2961868,0.38190955,0.0,0.0756456,0.0,5068.0,0.1228606,0.0985697,41249.0,0.0,0.0045267376,0.27842227
AHD0848,1162.0,0.0,87.0,0,376.0,126.0,116.0,3820.0,138.0,199.0,13.0,0.0,299.0,22.0,99.0,92.0,10.688534,0,5856.0,0.0,0.074806534,0.0,0.33421752,0.30769232,0.065,0.0361162,0.051050026,393.0,0.0670992,0.09441694,5856.0,0.0,0.025909448,0.7863248
AHG0634,465.0,162.0,0.0,0,463.0,146.0,259.0,4740.0,261.0,0.0,0.0,0.0,0.0,2.0,172.0,160.0,13.564133,0,5668.0,0.34763947,0.0,0.0,0.31465518,0.55818963,0.0,0.055051677,0.0,828.0,0.1460575,0.09172694,5668.0,0.0,0.036279265,0.61538464
AHM0410,1183.0,0.0,9.0,0,3063.0,917.0,814.0,33440.0,4771.0,2198.0,130.0,0.0,782.0,3.0,63.0,410.0,87.50971,0,40666.0,0.0,0.0076013515,0.0,0.29928198,0.2656658,0.05911778,0.14266919,0.01922935,6632.0,0.16308063,0.1565643,40666.0,0.0,0.0018839149,0.5030675
AIB0948,1207.0,0.0,0.0,0,328.0,39.0,130.0,3460.0,190.0,1669.0,95.0,0.0,5963.0,34.0,131.0,94.0,9.415932,0,12627.0,0.0,0.0,0.0,0.11854103,0.39513677,0.056886226,0.054897428,0.47220463,454.0,0.035951853,0.49754512,12627.0,0.0,0.03785033,0.71755725
